"event","experiment time","system time","system time text"
"START",0.000000000E0,1765012065.110,"2025-12-06 11:07:45.110 UTC+02:00"
"PAUSE",3.688540239E2,1765012433.964,"2025-12-06 11:13:53.964 UTC+02:00"
