"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.244617873E1,6.498462434E1,2.551553833E1,1.305845684E1,1.539999962E0,9.400000000E1,3.790092468E0,2.500000000E0
4.344512915E1,6.498462108E1,2.551557017E1,1.273648921E1,1.509999990E0,9.869999695E1,3.790092468E0,2.500000000E0
4.444500050E1,6.498461616E1,2.551560046E1,1.252474975E1,1.539999962E0,1.093000031E2,3.790092468E0,2.500000000E0
4.544563931E1,6.498460900E1,2.551562654E1,1.194624851E1,1.519999981E0,1.223000031E2,3.790092468E0,2.500000000E0
4.644556837E1,6.498460061E1,2.551565137E1,1.166962618E1,1.590000033E0,1.290000000E2,3.790092468E0,2.500000000E0
4.744523378E1,6.498459011E1,2.551567393E1,1.139281910E1,1.720000029E0,1.345000000E2,3.790092468E0,2.500000000E0
4.844541706E1,6.498457943E1,2.551569446E1,1.128233292E1,1.629999995E0,1.393000031E2,3.790092468E0,2.500000000E0
4.944522753E1,6.498456878E1,2.551571426E1,1.106228876E1,1.639999986E0,1.425000000E2,3.790092468E0,2.500000000E0
5.044536368E1,6.498455730E1,2.551572987E1,1.096962475E1,1.649999976E0,1.473999939E2,3.790092468E0,2.500000000E0
5.144589076E1,6.498454587E1,2.551574725E1,1.088013438E1,1.700000048E0,1.463999939E2,3.790092468E0,2.500000000E0
5.244553633E1,6.498453487E1,2.551576896E1,1.102544609E1,1.679999948E0,1.401000061E2,3.790092468E0,2.500000000E0
5.344520378E1,6.498452489E1,2.551579120E1,1.111674256E1,1.629999995E0,1.368000031E2,3.790092468E0,2.500000000E0
5.444540279E1,6.498451567E1,2.551581526E1,1.121341058E1,1.580000043E0,1.306999969E2,3.790092468E0,2.500000000E0
5.544556456E1,6.498450710E1,2.551584095E1,1.119197597E1,1.580000043E0,1.286999969E2,3.790092468E0,2.500000000E0
